0	3
0.042	94
0.083	135
0.125	239
0.166	301
0.208	361
0.249	396
0.29	453
0.332	492
0.373	520
0.415	532
0.456	534
0.497	533
0.539	524
0.58	514
0.622	504
0.663	496
0.705	487
0.746	480
0.787	471
0.829	464
0.87	456
0.912	450
0.953	441
0.995	436
1.036	427
1.077	420
1.119	415
1.16	408
1.202	401
1.243	393
1.284	387
1.326	381
1.367	374
1.409	368
1.45	361
1.492	354
1.533	347
1.574	344
1.616	336
1.657	321
1.699	306
1.74	291
1.782	272
1.823	257
1.864	234
1.906	217
1.947	198
1.989	179
2.03	156
2.071	130
2.113	103
2.154	73
2.196	40
2.237	8
2.279	-30
2.32	-57
2.361	-82
2.403	-100
2.444	-101
2.486	-90
2.527	-65
2.569	-41
2.61	-19
2.651	-1
2.693	2
2.734	4
2.776	4
2.817	3
2.858	8
2.9	9
2.941	8
2.983	2
3.024	2
3.066	8
3.107	7
3.148	6
3.19	6
3.231	1
3.273	0
3.314	0
3.355	0
3.397	0
